Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_loweps_left,data,16319.0,217.467067,39.829739,0.9962,0.0006,0.9914,0.0006,0.9981,0.0001,0.9981,0.0001,0.997031,0.0006,0.97583,0.0006,0.9952,0.0003,0.9838,0.12746,NA,NA,196.02662948599854,43.9799916393586
Q3p85_W2p62_t0p21_loweps_left,data,16320.0,40.865323,1.556274,0.9949,0.0017,0.9917,0.0013,0.9981,0.0001,0.9981,0.0001,0.997115,0.0017,0.973098,0.0013,0.9943,0.0007,0.98536,0.1172,NA,NA,37.09401497912205,4.636495023649478
Q3p85_W2p62_t0p21_loweps_left,data,16321.0,211.513938,36.756962,0.9965,0.0004,0.9924,0.0005,0.9981,0.0001,0.9981,0.0001,0.997048,0.0004,0.974413,0.0005,0.9946,0.0004,0.98339,0.13016,NA,NA,191.12771621592097,41.75300949853587
Q3p85_W2p62_t0p21_loweps_left,data,16323.0,248.008234,45.433997,0.9963,0.0004,0.9912,0.0005,0.9981,0.0001,0.9981,0.0001,0.997262,0.0004,0.975189,0.0005,0.9945,0.0004,0.98153,0.1426,NA,NA,222.6398943095927,52.056539497779546
Q3p85_W2p62_t0p21_loweps_left,data,16325.0,237.607151,41.539162,0.9959,0.0004,0.9906,0.0006,0.9981,0.0001,0.9981,0.0001,0.997182,0.0004,0.974796,0.0006,0.9932,0.0004,0.98146,0.14308,NA,NA,212.6256464193898,48.401008663995476
Q3p85_W2p62_t0p21_loweps_left,data,16326.0,257.094571,45.116275,0.9963,0.0004,0.9926,0.0005,0.9981,0.0001,0.9981,0.0001,0.997261,0.0004,0.974814,0.0005,0.9942,0.0004,0.98001,0.1528,NA,NA,230.27547753882936,54.05672226160539
Q3p85_W2p62_t0p21_loweps_left,data,16327.0,257.631148,47.869598,0.9964,0.0004,0.9924,0.0005,0.9981,0.0001,0.9981,0.0001,0.997126,0.0004,0.974868,0.0005,0.9943,0.0004,0.98108,0.14559,NA,NA,230.77493035234272,54.8777490908032
Q3p85_W2p62_t0p21_loweps_left,data,16328.0,235.44616,41.1314,0.9961,0.0004,0.9922,0.0005,0.9981,0.0001,0.9981,0.0001,0.997204,0.0004,0.975251,0.0005,0.9959,0.0003,0.98161,0.14204,NA,NA,211.567242778434,47.99294714025677
Q3p85_W2p62_t0p21_loweps_left,data,16330.0,235.290762,41.848813,0.9959,0.0004,0.9926,0.0005,0.9981,0.0001,0.9981,0.0001,0.997191,0.0004,0.975215,0.0005,0.9949,0.0004,0.98195,0.13977,NA,NA,211.51649097368212,48.18509446766659
Q3p85_W2p62_t0p21_loweps_left,data,16331.0,235.028848,42.780603,0.9969,0.0004,0.993,0.0005,0.9981,0.0001,0.9981,0.0001,0.996965,0.0004,0.975305,0.0005,0.9939,0.0004,0.98238,0.13688,NA,NA,211.2121002488513,48.417025749083884
Q3p85_W2p62_t0p21_loweps_left,data,16332.0,274.130558,58.139498,0.9961,0.0004,0.9917,0.0005,0.9981,0.0001,0.9981,0.0001,0.997385,0.0004,0.975325,0.0005,0.9942,0.0003,0.98236,0.137,NA,NA,246.1101330778559,62.47100899966931
Q3p85_W2p62_t0p21_loweps_left,data,16394.0,246.426803,48.995955,0.9964,0.0004,0.9916,0.0005,0.9981,0.0001,0.9981,0.0001,0.997013,0.0004,0.975137,0.0005,0.9937,0.0004,0.98309,0.13218,NA,NA,221.68010792284798,53.209562768815736
Q3p85_W2p62_t0p21_loweps_left,data,16395.0,240.240898,39.553953,0.997,0.0004,0.9918,0.0005,0.9981,0.0001,0.9981,0.0001,0.99716,0.0004,0.976011,0.0005,0.9943,0.0004,0.98009,0.15226,NA,NA,216.1396450441608,48.928871803707274
Q3p85_W2p62_t0p21_loweps_left,data,16396.0,71.799897,3.959688,0.9967,0.0007,0.9918,0.001,0.9981,0.0001,0.9981,0.0001,0.997243,0.0007,0.977094,0.001,0.9943,0.0006,0.98224,0.13786,NA,NA,64.54990315803593,9.737439016610747
Q3p85_W2p62_t0p21_loweps_left,data,16397.0,130.923442,12.266043,0.9968,0.0005,0.992,0.0007,0.9981,0.0001,0.9981,0.0001,0.99594,0.0005,0.975181,0.0007,0.9945,0.0005,0.98093,0.14659,NA,NA,117.25923327064694,20.68512611274693
Q3p85_W2p62_t0p21_loweps_left,data,16398.0,186.989442,26.847574,0.9967,0.0004,0.9921,0.0006,0.9981,0.0001,0.9981,0.0001,0.997161,0.0004,0.975227,0.0006,0.9946,0.0004,0.98223,0.1379,NA,NA,168.1505665588585,33.769011675821574
Q3p85_W2p62_t0p21_loweps_left,dummy,16333.0,114.176134,20.038252,0.9965,0.0005,0.9955,0.0005,0.9981,0.0001,0.9981,0.0001,0.997245,0.0005,0.984247,0.0005,0.9994,0.0001,NA,NA,3.527,0.227,108.23149730326305,3.4244598956591896
Q3p85_W2p62_t0p21_loweps_left,dummy,16334.0,78.125853,8.390321,0.9963,0.0006,0.9951,0.0006,0.9981,0.0001,0.9981,0.0001,0.997505,0.0006,0.985173,0.0006,0.9998,0.0001,NA,NA,3.527,0.227,73.82225390431698,1.002012736204098
Q3p85_W2p62_t0p21_loweps_left,dummy,16335.0,56.315234,4.291404,0.9962,0.0007,0.9951,0.0007,0.9981,0.0001,0.9981,0.0001,0.997383,0.0007,0.987412,0.0007,0.9996,0.0002,NA,NA,3.527,0.227,53.25187868048941,0.5185480928108123


Variable,Value
Total Data Effective Charge,2988.749732334569
Total Data Effective Charge Error,180.12656687005057
Total Dummy Effective Charge,829.92296
Total Dummy Effective Charge Error,54.90728869650986
Normalization Data Factor (Data),0.00033458806844254604
Normalization Dummy Factor (Dummy),0.0012049311228579886
Normalization SIMC Factor,22.999444444444446
