Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_higheps_left,data,15110.0,72.037161,10.483934,0.9949,0.0003,0.9907,0.001,0.9981,0.0001,0.9981,0.0001,0.998274,0.0003,0.994296,0.001,0.999,0.0001,0.99324,0.06941,NA,NA,68.03662528207639,10.98477330515522
Q3p85_W2p62_t0p21_higheps_left,data,15113.0,107.37714,18.58813,0.9936,0.0003,0.9915,0.0008,0.9981,0.0001,0.9981,0.0001,0.99831,0.0003,0.994245,0.0008,0.999,0.0002,0.99153,0.07875,NA,NA,101.12581330898306,19.26112884142506
Q3p85_W2p62_t0p21_higheps_left,data,15114.0,93.170614,15.665156,0.9947,0.0003,0.9926,0.0008,0.9981,0.0001,0.9981,0.0001,0.99834,0.0003,0.99461,0.0008,0.999,0.0001,0.99243,0.0737,NA,NA,88.19983821005836,16.212056916940227
Q3p85_W2p62_t0p21_higheps_left,data,15115.0,91.662977,16.318995,0.9949,0.0002,0.9924,0.0008,0.9981,0.0001,0.9981,0.0001,0.998341,0.0002,0.993938,0.0008,0.9994,0.0001,0.99297,0.07082,NA,NA,86.76018378242543,16.64000589871495
Q3p85_W2p62_t0p21_higheps_left,data,15116.0,64.453321,10.466735,0.9951,0.0003,0.9928,0.0009,0.9981,0.0001,0.9981,0.0001,0.998224,0.0003,0.994349,0.0009,0.9988,0.0001,0.99457,0.06284,NA,NA,61.116140904255865,10.650103947121423
Q3p85_W2p62_t0p21_higheps_left,data,15117.0,22.71676,2.158163,0.9931,0.0006,0.9924,0.0017,0.9981,0.0001,0.9981,0.0001,0.99835,0.0006,0.993504,0.0017,0.9979,0.0002,0.99672,0.0544,NA,NA,21.504563866797284,2.357137710114635
Q3p85_W2p62_t0p21_higheps_left,data,15118.0,59.893315,10.169813,0.9931,0.0004,0.992,0.0011,0.9981,0.0001,0.9981,0.0001,0.998326,0.0004,0.994225,0.0011,0.9988,0.0001,0.99517,0.06018,NA,NA,56.57303148173802,10.197690018926327
Q3p85_W2p62_t0p21_higheps_left,data,15119.0,41.745068,2.700796,0.9946,0.0004,0.9906,0.0014,0.9981,0.0001,0.9981,0.0001,0.998059,0.0004,0.994549,0.0014,0.9985,0.0003,0.99119,0.08072,NA,NA,39.263782600009385,4.0850022342908385
Q3p85_W2p62_t0p21_higheps_left,dummy,15121.0,44.221591,2.774107,0.991,0.0004,0.9931,0.0009,0.9981,0.0001,0.9981,0.0001,0.998826,0.0004,0.994046,0.0009,0.9997,0.0001,NA,NA,3.527,0.227,42.13601660214891,0.23390731382886618


Variable,Value
Total Data Effective Charge,522.5799794363438
Total Data Effective Charge Error,35.651617801219224
Total Dummy Effective Charge,148.61373
Total Dummy Effective Charge Error,9.600388470197608
Normalization Data Factor (Data),0.0019135826846612125
Normalization Dummy Factor (Dummy),0.006728853358705438
Normalization SIMC Factor,86.47722222222222
