Physics Setting,MM_Offset,MM_Cut_low,MM_Cut_high
Q3p85_W2p62_t0p21_loweps_center,-0.006489,0.9,1.06
Q3p85_W2p62_t0p21_loweps_left,-0.005741,0.9,1.06
Q3p85_W2p62_t0p21_higheps_left,0.010645,0.9,1.06
Q3p85_W2p62_t0p21_higheps_center,0.010127,0.9,1.06
Q3p85_W2p62_t0p21_higheps_right,0.009170,0.9,1.06
