Physics_Setting,Beam_Energy,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.619859,0.002365,2.674789,0.000591,0.285285,0.000159,0.019485,0.000143
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,2,0.2360,0.2720,0.2540,15,180.0000,3.789793,0.002819,2.631188,0.000738,0.291730,0.000200,0.025603,0.000170
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,3,0.2720,0.3100,0.2910,15,180.0000,3.889837,0.003882,2.606058,0.001002,0.294784,0.000225,0.029301,0.000214
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,4,0.3100,0.3580,0.3340,15,180.0000,3.952405,0.004882,2.590007,0.001250,0.296802,0.000251,0.033755,0.000259
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,5,0.3580,0.5000,0.4290,15,180.0000,4.055266,0.005588,2.564474,0.001414,0.299598,0.000283,0.038908,0.000353
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.611617,0.005152,2.673522,0.001355,0.287583,0.000363,0.024797,0.000283
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,2,0.2360,0.2720,0.2540,15,180.0000,3.754127,0.004362,2.638587,0.001155,0.291738,0.000293,0.029515,0.000260
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,3,0.2720,0.3100,0.2910,15,180.0000,3.823732,0.004602,2.621696,0.001185,0.293410,0.000256,0.036179,0.000252
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,4,0.3100,0.3580,0.3340,15,180.0000,3.860371,0.004359,2.612519,0.001116,0.294465,0.000226,0.044139,0.000230
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,5,0.3580,0.5000,0.4290,15,180.0000,3.899617,0.004570,2.605856,0.001180,0.293140,0.000228,0.053788,0.000249
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.567577,0.003537,2.685009,0.000823,0.777644,0.000075,0.025956,0.000205
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.706084,0.005232,2.652822,0.001240,0.778308,0.000116,0.035749,0.000257
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.772299,0.005521,2.636928,0.001305,0.778796,0.000114,0.041949,0.000282
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,4,0.3100,0.3580,0.3340,15,180.0000,3.841226,0.005937,2.618954,0.001437,0.779534,0.000119,0.049011,0.000276
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,5,0.3580,0.5000,0.4290,15,180.0000,3.926157,0.004892,2.598476,0.001203,0.779923,0.000089,0.061824,0.000239
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.648487,0.003507,2.664555,0.000839,0.778470,0.000075,0.022008,0.000185
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.821801,0.005409,2.624218,0.001297,0.779234,0.000105,0.029147,0.000289
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.871803,0.006846,2.611601,0.001668,0.779632,0.000113,0.035414,0.000358
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,4,0.3100,0.3580,0.3340,15,180.0000,3.909478,0.007438,2.602665,0.001824,0.779847,0.000120,0.043560,0.000387
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,5,0.3580,0.5000,0.4290,15,180.0000,3.936383,0.006602,2.595719,0.001605,0.780008,0.000098,0.058491,0.000372
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.656985,0.007350,2.659584,0.001818,0.779181,0.000162,0.027938,0.000374
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.780846,0.007047,2.632337,0.001711,0.779499,0.000131,0.033327,0.000351
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.846880,0.006793,2.615644,0.001646,0.779903,0.000108,0.039366,0.000328
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,4,0.3100,0.3580,0.3340,15,180.0000,3.863626,0.006740,2.612681,0.001634,0.779719,0.000105,0.048008,0.000317
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,5,0.3580,0.5000,0.4290,15,180.0000,3.866603,0.005305,2.612978,0.001290,0.779496,0.000080,0.061888,0.000286
