Physics_Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error,Total Effective Charge,Total Effective Charge Error,Normfactor
Q3p85_W2p62_t0p21_loweps_center,data,16373.0,209.416854,36.436338,0.997,0.0004,0.9882,0.0006,0.9981,0.0001,0.9981,0.0001,0.997159,0.0004,0.96755,0.0006,0.9881,0.0005,0.98358,0.12894,NA,NA,183.32197692251336,39.93758664222312,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16374.0,215.370955,31.32518,0.9963,0.0004,0.9872,0.0006,0.9981,0.0001,0.9981,0.0001,0.997084,0.0004,0.969,0.0006,0.9857,0.0007,0.9798,0.15424,NA,NA,187.08615204140307,40.09918795246342,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16375.0,233.9714,41.038163,0.9966,0.0003,0.9877,0.0006,0.9981,0.0001,0.9981,0.0001,0.997108,0.0003,0.968397,0.0006,0.9868,0.0006,0.9818,0.14078,NA,NA,203.7618798171864,46.16375943414808,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16376.0,249.656049,46.751237,0.9962,0.0003,0.9873,0.0006,0.9981,0.0001,0.9981,0.0001,0.997123,0.0003,0.968754,0.0006,0.9876,0.0005,0.98181,0.14071,NA,NA,217.9564712433279,51.39789473980712,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16377.0,241.585704,42.030881,0.9961,0.0003,0.9883,0.0006,0.9981,0.0001,0.9981,0.0001,0.997138,0.0003,0.969673,0.0006,0.9872,0.0006,0.98106,0.14578,NA,NA,210.9066014237671,48.25668153080892,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16378.0,218.921704,31.677584,0.9963,0.0003,0.9872,0.0006,0.9981,0.0001,0.9981,0.0001,0.997093,0.0003,0.967722,0.0006,0.9868,0.0006,0.97936,0.1572,NA,NA,190.2058187857817,41.10607469586784,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16379.0,273.599132,51.3221,0.9963,0.0003,0.9885,0.0005,0.9981,0.0001,0.9981,0.0001,0.997034,0.0003,0.96756,0.0005,0.9863,0.0006,0.9801,0.1522,NA,NA,238.22543806978877,58.01382923986812,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16380.0,229.224199,39.547288,0.9961,0.0003,0.987,0.0006,0.9981,0.0001,0.9981,0.0001,0.997103,0.0003,0.968501,0.0006,0.9877,0.0005,0.98187,0.1403,NA,NA,199.86969428107855,44.77535235765035,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16381.0,207.615898,35.725217,0.9963,0.0003,0.9881,0.0006,0.9981,0.0001,0.9981,0.0001,0.997106,0.0003,0.967482,0.0006,0.9884,0.0005,0.98354,0.1292,NA,NA,181.43823040315812,39.27985916734164,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16387.0,257.655292,47.841357,0.9965,0.0003,0.9869,0.0006,0.9981,0.0001,0.9981,0.0001,0.997088,0.0003,0.96913,0.0006,0.9871,0.0006,0.98107,0.1457,NA,NA,224.08912131763628,53.282192335727196,3137.7843394164456,187.11621954186444,0.0003186962174035124
