Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,189.1666666666667,0.06287179765640546,0.005939675096796119,9.447280526725924
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,228.83333333333343,0.07569343544885945,0.008521378549753059,11.257751083989751
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,293.83333333333314,0.09450048519026678,0.00851601149769184,9.011606110323928
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,348.6666666666665,0.11443399862756476,0.00940278833135982,8.216778618356244
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,310.5,0.10195888410178601,0.008613143876364941,8.447663930655027
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,351.6666666666665,0.11363058140348914,0.009638141317380604,8.481995954202391
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,343.6666666666665,0.11008646505613816,0.009593139703225043,8.714186342828848
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,303.1666666666667,0.09938351947422269,0.008465650393536287,8.518163210885321
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,342.49999999999983,0.11149631184316892,0.009360572615806728,8.395410091208523
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,349.83333333333326,0.11481990834944533,0.009411773967163691,8.196987876457538
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,366.8333333333332,0.11954528604239215,0.009861506858217082,8.24918086248928
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,357.4999999999998,0.11735588652180326,0.009596326082932954,8.177115240955619
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,265.3333333333333,0.08537255473581251,0.007934274189844454,9.293705939100994
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,193.6666666666667,0.06136737906880685,0.0064683511709578015,10.540373842111299
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,168.8333333333334,0.053302661364520276,0.005973619403503136,11.206981510081487
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,151.33333333333343,0.05005800392393621,0.006139126820459509,12.2640264078208
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,216.83333333333337,0.06992832180060517,0.006831254636888542,9.768938337126551
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,276.66666666666646,0.09151573404596262,0.009983500905798602,10.909054065811803
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,368.6666666666665,0.11835595909643597,0.01010078949194546,8.534246664940104
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,303.99999999999994,0.10055704753002159,0.01078787825777007,10.728117543973552
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,367.6666666666665,0.1207188140981911,0.009768257274342456,8.09174389867439
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,232.50000000000006,0.07421265981140282,0.0072465239968971,9.764538847297409
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,188.33333333333346,0.062296855103577,0.007258150836255474,11.650910506136803
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,249.16666666666674,0.08152141234717934,0.007321274960236623,8.980799951130804
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,308.99999999999983,0.10041518982916986,0.008687607305225446,8.651686383310269
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,421.3333333333331,0.13847066130469704,0.01088525518239904,7.861055244364463
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,335.33333333333326,0.10732996704270555,0.009450633623536315,8.805214316124777
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,271.6666666666665,0.08896395698344738,0.007832125930338434,8.803706799817457
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,175.16666666666677,0.05524795347898647,0.006097628225984235,11.036839994993596
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,15,336,360,156.66666666666669,0.05092428439807742,0.0053963759127680635,10.596861549559245
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,1,0,24,140.33333333333337,0.04552154829174951,0.005060015124030035,11.115648113724484
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,2,24,48,186.8333333333334,0.06180068546115912,0.007251869050141913,11.734285786683731
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,3,48,72,294.1666666666665,0.09461074511080411,0.008527664683421263,9.013420910525568
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,4,72,96,316.66666666666646,0.1038490462559835,0.008781387760296444,8.455915655354884
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,5,96,120,341.9999999999997,0.1122288002168186,0.009285830415860237,8.274017362673955
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,6,120,144,188.33333333333348,0.06050109859466565,0.006230481964393831,10.298130296997893
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,7,144,168,101.83333333333331,0.03009289270632379,0.004769345008948558,15.848742277761543
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,8,168,192,74.33333333333331,0.023690084025363198,0.0035444321468087563,14.961669798275084
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,9,192,216,98.49999999999997,0.031683928264317776,0.00411795501490772,12.996983772196371
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,10,216,240,208.1666666666667,0.06825873487257615,0.00648648974098799,9.502798071333759
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,11,240,264,354.49999999999983,0.1154656689825119,0.009622334191287494,8.333502309456906
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,12,264,288,379.16666666666646,0.12272702484781674,0.01022822566321394,8.334126632579162
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,13,288,312,275.3333333333332,0.08927893785490204,0.008042369471639369,9.008137490065117
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,14,312,336,187.6666666666667,0.0611784570080467,0.006088771849438813,9.952476978355254
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,15,336,360,119.66666666666661,0.0386854332184366,0.004603600715236065,11.90008830776669
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,1,0,24,111.49999999999999,0.035984065165272645,0.00445367807124122,12.37680637467097
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,2,24,48,162.50000000000003,0.05375171126193588,0.006530729824599809,12.149808203826483
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,3,48,72,261.83333333333337,0.08571128932759692,0.007670357773125224,8.94906357528746
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,4,72,96,282.6666666666667,0.09260253436117842,0.00809723075538905,8.744070355361286
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,5,96,120,255.50000000000006,0.08451422909184382,0.009352323074048435,11.065974540080134
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,6,120,144,105.16666666666661,0.034787004929519534,0.004728864085114337,13.593766105174293
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,7,144,168,53.33333333333335,0.01674370903151303,0.003012992654461479,17.994774328619663
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,8,168,192,44.333333333333336,0.014664569431461483,0.0026105297455232142,17.801611958156528
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,9,192,216,59.99999999999999,0.01984678569671479,0.0032266179727624233,16.257634974597025
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,10,216,240,93.33333333333333,0.03012454587173216,0.004006804468078778,13.3007962514669
