t_min,t_max,Yield (loweps),Error (loweps),Yield (higheps),Error (higheps)
0.16,0.236,5146.833,73.188,6552.5,81.623
0.236,0.27,5366.5,74.675,4329.833,66.393
0.27,0.308,5352.167,74.918,4925.167,70.9
0.308,0.354,5135.667,73.749,4907.5,70.983
0.354,0.5,5402.833,77.115,8354.0,92.779
